X;Y;Toponyme Voie;Statut Voie;Libellé Voie;Point Origine Voie;Point Extrémité Voie;N° de Délibération;Date de Délibération;Longueur Voie;Observations
986374,73;6244272,23;Salles;Rurale;Chemin des Salles;Chemin du Canadel;Chemin du Carry;97/140;27/11/1997;582 m;
986521,47;6244356,53;Bas des Vignes;Rurale;Chemin du Bas des Vignes;Chemin de Trémouriès;Chemin du Canadel;2011/047;10/05/2011;146 m;Arrêté n° 2013/135
987436,2;6244665,13;Bord de la Rivière;Rurale;Chemin du Bord de la Rivière;Chemin de Giégi;Chemin de la mort du Luc;;24/02/1943;937 m;
984999,42;6243396,44;Bourru;Privée;Chemin du Bourru;Route de la Mole;Chemin du Canadel;2012/007;23/02/2012;877 m;Arrêté n° 2012/500
985290,45;6243503,04;Canadel;Privée;Chemin du Canadel;Chemin du Canadel (rural);Chemin du Bourru;;;340 m;
986660,64;6244444,16;Canadel;Rurale;Chemin du Canadel;Chemin de Trémouriès;Chemin du Canadel (Privé);;24/02/1943;1689 m;Arrêté n° 2012/501
986784,11;6244975,94;Carry;Rurale;Chemin du Carry;Chemin de Trémouriès;Impasse;;24/02/1943;1094 m;Arrêté n° 2012/502
987125,6;6244887,43;Colombier;Rurale;Chemin du Colombier ;Route de La Mole;Chemin de Giégi;2011/131;20/12/2011;390 m;Arrêté n° 2014/994
984795,47;6245784,2;Hameau de l'Hermitan;Privée;Chemin du Hameau de l'Hermitan;Chemin de l'Hermitan;Impasse;2011/085;13/09/2011;542 m;Arrêté n° 2012/504
986281,57;6244674,5;Mistral;Publique;Chemin du Mistral;Chemin du Carry;Impasse;2012/049;15/05/2012;293 m;Arrêté n° 2012/505
985581,46;6243072,54;Val d'Astier;Privée;Chemin du Val d'Astier;Route de La Mole;Impasse;;;330 m;Arrêté n° 2012/506
985787,99;6245824,37;Notre Dame des Anges;Publique;Chemin Notre Dame des Anges;Chemin de l'Argentière;Chemin de Radasse;;;231 m;Arrêté n° 2014/1003
991539,51;6247226,69;Capitainerie;Publique;Esplanade de la Capitainerie;Quai de la Galiote;Impasse;;;149m;
986137,54;6245662,84;Camoin;DPC;Impasse  Charles Camoin;Rue Maurin des Maures;Impasse;2006/56;23/05/2006;54 m;
987211,5;6245537,82;Aubert;Privée;Impasse Aubert;Avenue Georges Clémenceau;Impasse;;;113 m;
986173,42;6245231,05;Cigale;Privée;Impasse de La Cigale;Chemin des Coustellines;Impasse;2012/004;23/02/2012;109 m;Arrêté n° 2014/991
986231,49;6245542,96;Petite Bruyère;Communale;Impasse de la Petite Bruyère;Avenue Paul Cézanne;Impasse;2011/085;13/09/2011;54 m;Arrêté n° 2012/510
986042,5;6245213,48;Source;Privée;Impasse de la source;Chemin de Vaubelette;Impasse;96/90;30/05/1996;137 m;
986811,15;6245623,98;Audiguier;DPC;Impasse de l'Audiguier;Rue de l'Audiguier;Impasse;;25/09/1989;107 m;
990298,4;6247400,21;Tous les Vents;Communale;Impasse de tous les Vents;RN98;Impasse;2012/005;23/02/2012;564 m;Arrêté n° 2013/136
986221,21;6244362,41;Agapanthes;Privée;Impasse des Agapanthes;Chemin des Salles;Impasse;2012/008;23/02/2012;93 m;Arrêté n° 2012/511
986331,76;6245847,05;Anges;Communale;Impasse des Anges;Chemin de Radasse;Impasse;;24/11/2016;28 m;Délib 2016/203
990468,79;6247402,96;Artisans;Privée;Impasse des Artisans;Allée du Grand Port;Impasse (Parcelle BH 12);;;;
